2020-12-21,13:41:38,0,JeopardyAgent,1608576099575,Please pick a category. Format = category + value.,JEOPARDY_CATEGORY
2020-12-21,13:41:43,0,mere,1608576103327,eng comp for 100,ENG_COMP_100
2020-12-21,13:41:43,0,JeopardyAgent,1608576103597,"
               English Composition for 100?
        ",TUTOR
2020-12-21,13:41:44,0,mere,1608576104825,yes,AFFIRMATIVE
2020-12-21,13:41:44,0,JeopardyAgent,1608576105603,Here we go...,TUTOR
2020-12-21,13:41:44,0,JeopardyAgent,1608576107609,This word represents a form of cheating that involves copying someone else's work.,TUTOR
2020-12-21,13:41:50,0,mere,1608576110638,plagiarism,
2020-12-21,13:41:55,0,JeopardyAgent,1608576115644,"Plagiarism is correct. For more information about plagiarism, visit: insert weblink s",TUTOR
2020-12-21,13:41:55,0,JeopardyAgent,1608576120646,Please choose another question to answer.,TUTOR
2020-12-21,13:42:01,0,JeopardyAgent,1608576127656,Ask me for another category please.,CONTINUE_JEOPARDY_CATEGORIES
2020-12-21,13:42:43,0,mere,1608576163912,eng comp 200,ENG_COMP_200
2020-12-21,13:42:43,0,JeopardyAgent,1608576165778,"
               English Composition for 200?
        ",TUTOR
2020-12-21,13:42:47,0,mere,1608576167251,yes,AFFIRMATIVE
2020-12-21,13:42:47,0,JeopardyAgent,1608576167785,Here we go...,TUTOR
2020-12-21,13:42:47,0,JeopardyAgent,1608576169797,This is one of the required essays for this course and involves telling a personal story from your life.,TUTOR
2020-12-21,13:43:47,0,JeopardyAgent,1608576227976,It sounds like you could use some help.,TUTOR
2020-12-21,13:43:47,0,JeopardyAgent,1608576232980,"Sorry, I didn't understand you. Can you describe the wind speed and direction at a high pressure center?",TUTOR
2020-12-21,13:44:47,0,JeopardyAgent,1608576288133,"Incorrect. Anyone else, hit the buzzer to chime in!",TUTOR
2020-12-21,13:44:47,0,JeopardyAgent,1608576293138,Please choose another question to answer.,TUTOR
2020-12-21,13:44:45,0,JeopardyAgent,1608576300148,"hey corb, are you still with us?",ENCOURAGE_INDIVIDUAL+SOCIAL
2020-12-21,13:47:46,0,JeopardyAgent,1608576466672,I can't do this on my own :-),SOCIAL+ENCOURAGE_GROUP
